instrument1,instrument2,period,frequency,entry_id
BBDC3,RADL3,1D,1T,1
ISAE4,SLCE3,1D,1S,2
BBSE3,CEAB3,1D,1H,2
CSAN3,MBRF3,1D,1H,3
EMBR3,GOAU4,1D,1T,2
AURE3,PRIO3,1D,1H,1
BBDC4,RECV3,1D,1T,3
CVCB3,GGBR4,1D,1S,1
DIRR3,ITSA4,1D,1H,3
MBRF3,YDUQ3,1D,1H,1
ENGI11,SLCE3,1D,1H,2
CURY3,ELET6,1D,1H,1
BRAP4,HAPV3,1D,1S,3
FLRY3,MBRF3,1D,1S,2
ALOS3,BPAC11,1D,1T,3
CURY3,PRIO3,1D,1S,3
ALOS3,NATU3,1D,1T,2
MBRF3,PRIO3,1D,1S,2
ENGI11,SMFT3,1D,1H,1
SANB11,SMFT3,1D,1H,2
IRBR3,YDUQ3,1D,1T,3
CVCB3,FLRY3,1D,1S,3
BBDC4,ISAE4,1D,1H,2
RAIZ4,VALE3,1D,1H,3
ENEV3,EQTL3,1D,1H,1
CSNA3,USIM5,1D,1S,2
CEAB3,ENEV3,1D,1T,1
RDOR3,SANB11,1D,1T,2
ABEV3,CEAB3,1D,1S,3
BBDC3,CVCB3,1D,1S,1
CPFE3,PRIO3,1D,1H,3
BBSE3,KLBN11,1D,1H,3
LREN3,RDOR3,1D,1S,2
ELET3,RENT3,1D,1S,2
GOAU4,MBRF3,1D,1H,2
B3SA3,ENEV3,1D,1S,3
ITUB4,YDUQ3,1D,1T,1
MGLU3,SUZB3,1D,1S,2
CPFE3,PCAR3,1D,1H,2
CSNA3,TAEE11,1D,1T,1
ELET6,GOAU4,1D,1S,2
MULT3,RDOR3,1D,1H,1
ALOS3,CMIG4,1D,1S,1
ENEV3,PCAR3,1D,1H,3
ELET3,VALE3,1D,1S,3
GGBR4,PRIO3,1D,1H,3
HAPV3,VBBR3,1D,1H,1
CMIN3,POMO4,1D,1S,3
CPLE6,UGPA3,1D,1H,1
CPFE3,EMBR3,1D,1T,2
RADL3,TIMS3,1D,1H,1
ENGI11,PETR4,1D,1S,3
MGLU3,SBSP3,1D,1H,2
RAIL3,CSNA3,1D,1S,3
AURE3,MRVE3,1D,1S,2
CVCB3,VIVT3,1D,1H,2
EGIE3,USIM5,1D,1T,1
CEAB3,MBRF3,1D,1S,2
BPAC11,CEAB3,1D,1H,1
CVCB3,TIMS3,1D,1H,1
AZZA3,CYRE3,1D,1H,1
ENEV3,VIVA3,1D,1T,1
FLRY3,PETR4,1D,1T,2
B3SA3,PETR3,1D,1S,2
GOAU4,TIMS3,1D,1H,3
FLRY3,TIMS3,1D,1S,1
BRAP4,MGLU3,1D,1T,3
RECV3,VAMO3,1D,1T,2
FLRY3,PSSA3,1D,1H,3
CMIG4,USIM5,1D,1S,1
COGN3,MULT3,1D,1T,3
ENEV3,PETR3,1D,1T,2
ALOS3,MBRF3,1D,1S,3
LREN3,SBSP3,1D,1T,1
GGBR4,MRVE3,1D,1T,3
BBDC3,POMO4,1D,1T,1
CVCB3,ENGI11,1D,1H,2
BBSE3,RECV3,1D,1T,2
CMIN3,ISAE4,1D,1S,2
KLBN11,YDUQ3,1D,1T,1
POMO4,TAEE11,1D,1H,2
BRAP4,TOTS3,1D,1H,1
AURE3,LREN3,1D,1S,3
EMBR3,MGLU3,1D,1H,1
FLRY3,MGLU3,1D,1S,1
POMO4,SMFT3,1D,1T,3
SLCE3,VIVT3,1D,1S,2
CVCB3,VALE3,1D,1T,2
BBAS3,DIRR3,1D,1T,2
CYRE3,RDOR3,1D,1T,1
B3SA3,SLCE3,1D,1H,2
GOAU4,ITSA4,1D,1T,2
ALOS3,HYPE3,1D,1S,2
COGN3,RENT3,1D,1T,1
ELET6,MBRF3,1D,1H,3
BBDC3,RECV3,1D,1T,3
CEAB3,CSAN3,1D,1H,3
CPLE6,ENEV3,1D,1H,1
BEEF3,CSNA3,1D,1S,2
PSSA3,USIM5,1D,1T,3
BBDC3,KLBN11,1D,1H,1
MRVE3,RAIL3,1D,1H,1
PRIO3,VAMO3,1D,1T,2
AURE3,BBDC4,1D,1S,2
SMFT3,SUZB3,1D,1T,3
ELET6,UGPA3,1D,1S,1
NATU3,TAEE11,1D,1H,3
COGN3,IGTI11,1D,1T,3
HYPE3,MOTV3,1D,1H,1
BRAV3,TOTS3,1D,1H,1
MOTV3,WEGE3,1D,1H,3
ALOS3,TOTS3,1D,1T,3
EGIE3,POMO4,1D,1T,2
ENGI11,PRIO3,1D,1H,3
BRKM5,ELET6,1D,1T,1
LREN3,SLCE3,1D,1S,1
AZZA3,MGLU3,1D,1T,1
ITUB4,UGPA3,1D,1S,1
CMIG4,COGN3,1D,1H,1
CMIG4,PCAR3,1D,1S,2
BPAC11,TIMS3,1D,1H,3
IGTI11,PSSA3,1D,1T,3
MGLU3,PSSA3,1D,1S,1
MBRF3,NATU3,1D,1T,1
BRAV3,PRIO3,1D,1H,1
ASAI3,USIM5,1D,1S,3
IRBR3,NATU3,1D,1H,1
BEEF3,RADL3,1D,1S,3
ITUB4,PETR3,1D,1S,2
ENEV3,PCAR3,1D,1T,3
MRVE3,RDOR3,1D,1S,1
ABEV3,RDOR3,1D,1H,1
CVCB3,VBBR3,1D,1H,2
CVCB3,MRVE3,1D,1S,2
BBSE3,CXSE3,1D,1S,3
ALOS3,VIVA3,1D,1H,3
EMBR3,RADL3,1D,1T,2
HYPE3,PETR4,1D,1H,2
CXSE3,TIMS3,1D,1S,2
ASAI3,VBBR3,1D,1H,3
ITSA4,PETR3,1D,1T,1
RENT3,MGLU3,1D,1S,3
PSSA3,USIM5,1D,1H,3
CMIG4,FLRY3,1D,1T,1
ENEV3,MOTV3,1D,1H,3
PSSA3,CSNA3,1D,1S,3
PRIO3,TIMS3,1D,1S,1
VALE3,WEGE3,1D,1S,1
VIVT3,VAMO3,1D,1T,3
SANB11,YDUQ3,1D,1T,3
BPAC11,LREN3,1D,1S,1
CEAB3,CMIN3,1D,1H,1
MGLU3,TAEE11,1D,1T,3
PSSA3,SUZB3,1D,1H,3
CVCB3,RECV3,1D,1T,2
CXSE3,TOTS3,1D,1T,1
ENEV3,LREN3,1D,1H,3
CMIN3,RECV3,1D,1H,2
HAPV3,USIM5,1D,1S,2
PSSA3,RDOR3,1D,1H,3
RENT3,SLCE3,1D,1T,1
CPLE6,GOAU4,1D,1T,1
BPAC11,CPFE3,1D,1S,2
CSAN3,HYPE3,1D,1S,1
B3SA3,TAEE11,1D,1S,2
BBSE3,BEEF3,1D,1T,3
ALOS3,RAIL3,1D,1H,3
SBSP3,YDUQ3,1D,1H,2
BPAC11,HAPV3,1D,1S,1
MBRF3,TAEE11,1D,1H,3
CPLE6,ELET6,1D,1T,1
ISAE4,RENT3,1D,1T,3
RECV3,TOTS3,1D,1S,3
MOTV3,RAIL3,1D,1S,2
BBDC3,PSSA3,1D,1H,3
PETR3,VIVT3,1D,1S,2
BBDC3,SMFT3,1D,1T,2
ENEV3,CSNA3,1D,1H,2
CSAN3,ISAE4,1D,1T,1
PETR3,SMFT3,1D,1T,2
CPLE6,RAIL3,1D,1H,1
LREN3,VALE3,1D,1S,3
PRIO3,UGPA3,1D,1H,2
CMIG4,FLRY3,1D,1H,1
ITSA4,VIVA3,1D,1H,2
BBAS3,COGN3,1D,1H,3
GOAU4,MRVE3,1D,1S,3
COGN3,EGIE3,1D,1T,1
EQTL3,GGBR4,1D,1T,3
CXSE3,CSAN3,1D,1H,3
EGIE3,LREN3,1D,1T,2
DIRR3,HAPV3,1D,1S,3
CURY3,WEGE3,1D,1T,2
ASAI3,ITSA4,1D,1T,2
IGTI11,NATU3,1D,1H,1
PETR3,WEGE3,1D,1S,3
CPFE3,IGTI11,1D,1S,1
ABEV3,IGTI11,1D,1T,2
CEAB3,GGBR4,1D,1T,2
BRKM5,ENEV3,1D,1S,2
AURE3,PETR4,1D,1S,2
BRKM5,EGIE3,1D,1T,2
AURE3,SLCE3,1D,1T,2
BBSE3,VIVT3,1D,1S,2
EQTL3,ITSA4,1D,1S,2
CEAB3,GGBR4,1D,1H,2
BBDC4,CMIG4,1D,1T,1
NATU3,RDOR3,1D,1T,2
CURY3,MBRF3,1D,1H,1
EGIE3,MULT3,1D,1S,3
NATU3,SANB11,1D,1H,1
ALOS3,MOTV3,1D,1T,2
BEEF3,TIMS3,1D,1H,1
BPAC11,ENGI11,1D,1T,1
BBSE3,SUZB3,1D,1T,1
POMO4,SUZB3,1D,1T,3
MOTV3,SANB11,1D,1T,1
ENGI11,POMO4,1D,1H,1
AURE3,MGLU3,1D,1T,3
BBSE3,BEEF3,1D,1H,1
NATU3,YDUQ3,1D,1S,1
DIRR3,EGIE3,1D,1T,1
CEAB3,SUZB3,1D,1S,1
EMBR3,VIVA3,1D,1T,3
GOAU4,LREN3,1D,1H,3
BRAV3,RAIL3,1D,1H,3
ALOS3,EQTL3,1D,1T,3
ABEV3,EGIE3,1D,1H,3
IGTI11,MULT3,1D,1H,1
COGN3,ISAE4,1D,1H,1
BBDC3,CSAN3,1D,1H,2
PETR3,USIM5,1D,1H,3
CURY3,MBRF3,1D,1S,2
BBAS3,RAIL3,1D,1H,3
ISAE4,WEGE3,1D,1T,3
ASAI3,EQTL3,1D,1H,3
PCAR3,RECV3,1D,1S,2
GOAU4,TOTS3,1D,1S,2
ENGI11,SLCE3,1D,1S,3
RECV3,SLCE3,1D,1H,1
BBSE3,SANB11,1D,1H,2
HYPE3,PRIO3,1D,1S,3
BBSE3,BRKM5,1D,1H,1
BBAS3,LREN3,1D,1H,3
RENT3,RAIL3,1D,1S,2
BBSE3,IRBR3,1D,1H,1
RECV3,TIMS3,1D,1S,2
CURY3,DIRR3,1D,1H,2
RENT3,NATU3,1D,1H,3
ENEV3,EQTL3,1D,1S,1
BRKM5,BRAV3,1D,1H,1
BBSE3,MGLU3,1D,1S,3
BBAS3,EMBR3,1D,1S,3
CXSE3,PETR3,1D,1S,2
COGN3,SBSP3,1D,1S,1
BRAV3,MBRF3,1D,1S,1
B3SA3,COGN3,1D,1H,2
FLRY3,YDUQ3,1D,1H,1
BRAV3,GOAU4,1D,1S,1
BBDC3,SBSP3,1D,1H,3
EGIE3,RDOR3,1D,1T,1
AURE3,EMBR3,1D,1T,1
EQTL3,GGBR4,1D,1S,2
RENT3,RADL3,1D,1S,1
ALOS3,VALE3,1D,1H,2
ALOS3,BPAC11,1D,1T,1
RECV3,VALE3,1D,1S,2
BRAV3,FLRY3,1D,1H,3
BBAS3,PSSA3,1D,1H,2
RAIL3,YDUQ3,1D,1T,3
EGIE3,ITSA4,1D,1S,3
AZZA3,CSNA3,1D,1S,1
BEEF3,VBBR3,1D,1S,1
CSAN3,ITSA4,1D,1H,3
B3SA3,MULT3,1D,1H,3
ENEV3,IGTI11,1D,1H,3
BBSE3,DIRR3,1D,1S,3
BBAS3,SLCE3,1D,1T,2
COGN3,KLBN11,1D,1S,2
ABEV3,TOTS3,1D,1H,1
MOTV3,SLCE3,1D,1H,2
ENEV3,MRVE3,1D,1S,3
CVCB3,PETR4,1D,1H,1
GGBR4,ITUB4,1D,1H,2
ELET3,IRBR3,1D,1H,3
BBSE3,CEAB3,1D,1T,2
SLCE3,TOTS3,1D,1H,2
BBSE3,VBBR3,1D,1S,1
RADL3,UGPA3,1D,1S,2
RENT3,VBBR3,1D,1S,1
CVCB3,SANB11,1D,1H,3
AURE3,PSSA3,1D,1H,1
POMO4,SLCE3,1D,1S,1
BBDC4,CURY3,1D,1T,3
CURY3,POMO4,1D,1H,1
BBAS3,ELET3,1D,1S,1
CMIG4,RAIL3,1D,1S,2
MOTV3,VAMO3,1D,1S,3
ELET3,MULT3,1D,1H,2
B3SA3,EGIE3,1D,1H,3
CYRE3,DIRR3,1D,1T,3
MGLU3,SLCE3,1D,1H,2
CXSE3,CYRE3,1D,1S,1
HYPE3,VIVT3,1D,1T,2
BRAP4,BRAV3,1D,1T,2
CURY3,EQTL3,1D,1S,1
BRKM5,CPFE3,1D,1T,1
BEEF3,USIM5,1D,1H,2
EQTL3,BEEF3,1D,1H,2
MULT3,PRIO3,1D,1T,2
BBDC4,BEEF3,1D,1S,3
IGTI11,POMO4,1D,1T,1
CPFE3,SANB11,1D,1T,2
IGTI11,ISAE4,1D,1H,3
KLBN11,SLCE3,1D,1T,1
CVCB3,EMBR3,1D,1S,3
EQTL3,SUZB3,1D,1T,3
ALOS3,TOTS3,1D,1S,1
ENGI11,ISAE4,1D,1S,3
EQTL3,MRVE3,1D,1H,3
BBAS3,RADL3,1D,1H,3
EGIE3,RENT3,1D,1T,3
CPLE6,USIM5,1D,1H,2
EMBR3,MRVE3,1D,1T,2
BBDC4,WEGE3,1D,1S,2
HYPE3,SLCE3,1D,1T,2
ENEV3,USIM5,1D,1S,3
NATU3,VAMO3,1D,1T,3
CMIN3,PETR3,1D,1S,2
FLRY3,SLCE3,1D,1T,1
CEAB3,SANB11,1D,1S,1
B3SA3,CMIG4,1D,1H,1
CMIG4,VIVA3,1D,1H,2
EGIE3,GOAU4,1D,1S,1
BBAS3,SUZB3,1D,1T,2
B3SA3,CPFE3,1D,1T,1
CMIG4,CURY3,1D,1T,1
ISAE4,VAMO3,1D,1T,3
ENGI11,RDOR3,1D,1H,3
CPFE3,BEEF3,1D,1H,2
ISAE4,PSSA3,1D,1T,1
AURE3,IRBR3,1D,1H,1
GGBR4,PETR4,1D,1T,1
ASAI3,MBRF3,1D,1T,2
BBAS3,BPAC11,1D,1S,1
SANB11,TOTS3,1D,1S,3
ELET3,VIVT3,1D,1S,1
BRKM5,BRAV3,1D,1H,3
VIVT3,USIM5,1D,1T,2
BPAC11,RENT3,1D,1S,3
KLBN11,RDOR3,1D,1T,1
ELET6,KLBN11,1D,1S,2
ASAI3,CPFE3,1D,1S,1
GGBR4,VALE3,1D,1T,3
MRVE3,USIM5,1D,1H,3
COGN3,ELET6,1D,1S,1
PSSA3,RAIZ4,1D,1H,2
AZZA3,TOTS3,1D,1S,2
ALOS3,HAPV3,1D,1T,1
CYRE3,TOTS3,1D,1T,2
RADL3,YDUQ3,1D,1S,2
RENT3,CSNA3,1D,1T,2
ENEV3,MOTV3,1D,1T,1
SLCE3,YDUQ3,1D,1H,2
EQTL3,POMO4,1D,1T,1
BBAS3,HYPE3,1D,1S,3
ISAE4,ITSA4,1D,1H,1
GOAU4,UGPA3,1D,1H,3
ELET6,KLBN11,1D,1S,1
PETR3,VBBR3,1D,1T,1
BBDC4,GOAU4,1D,1H,2
PCAR3,TIMS3,1D,1S,3
BBAS3,EGIE3,1D,1T,1
ITSA4,LREN3,1D,1H,2
MULT3,TIMS3,1D,1S,3
EGIE3,SANB11,1D,1H,3
IRBR3,PCAR3,1D,1S,3
CPFE3,MULT3,1D,1T,1
BBSE3,CSNA3,1D,1T,3
BPAC11,CSAN3,1D,1S,3
CEAB3,ENGI11,1D,1H,1
CSAN3,MGLU3,1D,1T,1
BRAV3,MRVE3,1D,1T,1
CPLE6,PETR3,1D,1H,3
GOAU4,MBRF3,1D,1T,2
ALOS3,BBAS3,1D,1T,1
CEAB3,TIMS3,1D,1T,2
GGBR4,NATU3,1D,1H,2
B3SA3,IGTI11,1D,1H,3
PETR4,TIMS3,1D,1S,1
PETR3,VBBR3,1D,1H,2
VALE3,YDUQ3,1D,1S,1
SLCE3,TAEE11,1D,1H,2
RECV3,UGPA3,1D,1S,1
NATU3,RADL3,1D,1S,3
CEAB3,SANB11,1D,1S,2
GGBR4,MBRF3,1D,1H,1
MGLU3,RADL3,1D,1H,3
B3SA3,BRKM5,1D,1H,2
CMIG4,VIVT3,1D,1T,3
RENT3,SANB11,1D,1T,2
BBDC4,TIMS3,1D,1H,1
PETR4,SBSP3,1D,1T,1
ABEV3,SLCE3,1D,1H,1
IGTI11,PCAR3,1D,1H,2
SBSP3,TOTS3,1D,1T,3
IRBR3,ITUB4,1D,1T,1
CYRE3,MOTV3,1D,1H,1
BBDC3,PSSA3,1D,1H,2
BBDC4,GOAU4,1D,1T,1
CVCB3,RAIZ4,1D,1H,1
FLRY3,NATU3,1D,1S,3
BBDC4,SMFT3,1D,1T,2
POMO4,SANB11,1D,1S,3
RENT3,TOTS3,1D,1H,1
BRAV3,GOAU4,1D,1H,3
CURY3,SMFT3,1D,1S,1
ELET3,NATU3,1D,1T,1
ABEV3,MBRF3,1D,1S,1
BRAV3,BEEF3,1D,1H,3
ALOS3,RDOR3,1D,1S,3
BBAS3,PCAR3,1D,1T,2
POMO4,VAMO3,1D,1S,3
PETR4,TOTS3,1D,1T,2
BRAV3,RAIZ4,1D,1T,2
SMFT3,TIMS3,1D,1H,3
AURE3,USIM5,1D,1T,2
ABEV3,HYPE3,1D,1S,3
ALOS3,COGN3,1D,1T,3
AZZA3,EMBR3,1D,1S,1
BRAV3,VIVT3,1D,1H,3
ALOS3,BRKM5,1D,1T,2
BRKM5,CVCB3,1D,1S,3
ENEV3,VALE3,1D,1T,1
DIRR3,SBSP3,1D,1S,2
ABEV3,CURY3,1D,1T,3
CXSE3,RADL3,1D,1S,2
CMIN3,TIMS3,1D,1H,2
HYPE3,ISAE4,1D,1T,1
SMFT3,SUZB3,1D,1T,2
IGTI11,RAIZ4,1D,1T,1
ASAI3,BBDC4,1D,1S,3
RAIL3,VBBR3,1D,1T,2
PSSA3,RAIZ4,1D,1H,3
FLRY3,SLCE3,1D,1H,2
ELET3,WEGE3,1D,1S,1
BBSE3,VBBR3,1D,1H,2
CMIG4,CURY3,1D,1T,2
MULT3,VAMO3,1D,1H,2
BBAS3,GGBR4,1D,1H,1
EMBR3,FLRY3,1D,1T,2
BRKM5,MOTV3,1D,1H,2
ITUB4,MRVE3,1D,1T,2
MGLU3,VIVT3,1D,1T,1
GGBR4,SMFT3,1D,1H,2
COGN3,RADL3,1D,1S,2
EGIE3,EQTL3,1D,1T,3
CSAN3,CURY3,1D,1T,1
EGIE3,PRIO3,1D,1H,1
MULT3,TIMS3,1D,1H,2
CSNA3,TAEE11,1D,1H,3
DIRR3,ITUB4,1D,1H,2
ENEV3,MRVE3,1D,1S,2
FLRY3,MGLU3,1D,1T,1
CEAB3,ENEV3,1D,1T,3
BBSE3,WEGE3,1D,1T,3
NATU3,VIVA3,1D,1H,2
CYRE3,GGBR4,1D,1T,3
DIRR3,TIMS3,1D,1H,3
BBDC3,FLRY3,1D,1H,1
NATU3,VIVA3,1D,1S,1
BBAS3,PETR3,1D,1T,1
BBDC3,WEGE3,1D,1H,1
ASAI3,RADL3,1D,1T,3
ITUB4,YDUQ3,1D,1S,3
BPAC11,WEGE3,1D,1H,2
CMIN3,PCAR3,1D,1T,3
USIM5,VIVA3,1D,1S,1
ASAI3,CVCB3,1D,1T,3
CURY3,ISAE4,1D,1T,3
BBAS3,SMFT3,1D,1T,2
EGIE3,BEEF3,1D,1T,2
GGBR4,GOAU4,1D,1S,1
CXSE3,RAIZ4,1D,1H,3
ENEV3,YDUQ3,1D,1S,1
POMO4,MRVE3,1D,1S,1
MGLU3,CSNA3,1D,1T,1
AZZA3,CYRE3,1D,1T,2
CXSE3,MGLU3,1D,1T,3
ALOS3,TAEE11,1D,1S,2
BRAP4,BRKM5,1D,1S,1
ABEV3,CVCB3,1D,1H,3
CXSE3,MBRF3,1D,1H,1
CURY3,TAEE11,1D,1T,2
EMBR3,HYPE3,1D,1T,2
EGIE3,TOTS3,1D,1H,2
MRVE3,VBBR3,1D,1H,3
CYRE3,RENT3,1D,1H,1
KLBN11,SMFT3,1D,1T,1
CURY3,RAIZ4,1D,1S,2
EMBR3,SANB11,1D,1T,3
CURY3,FLRY3,1D,1T,3
ABEV3,SUZB3,1D,1S,1
BPAC11,RAIL3,1D,1H,3
BBDC3,GGBR4,1D,1S,2
SANB11,WEGE3,1D,1T,2
CEAB3,USIM5,1D,1S,2
AURE3,RDOR3,1D,1H,1
ASAI3,EQTL3,1D,1T,2
HAPV3,KLBN11,1D,1H,3
ELET3,TOTS3,1D,1S,1
ASAI3,TAEE11,1D,1H,2
RADL3,SLCE3,1D,1H,3
BBDC4,PSSA3,1D,1H,2
BRAV3,PCAR3,1D,1S,1
CURY3,TOTS3,1D,1H,3
IGTI11,SBSP3,1D,1T,2
B3SA3,IRBR3,1D,1T,1
ABEV3,MRVE3,1D,1H,3
BRKM5,VBBR3,1D,1T,2
BBAS3,YDUQ3,1D,1T,1
ITUB4,RAIZ4,1D,1S,2
CPLE6,RECV3,1D,1T,1
EQTL3,GOAU4,1D,1S,2
DIRR3,IRBR3,1D,1H,3
CMIG4,MULT3,1D,1H,3
PSSA3,VIVT3,1D,1S,1
CEAB3,ELET3,1D,1S,1
BRAV3,MULT3,1D,1T,1
CEAB3,ENGI11,1D,1H,3
BRKM5,CPLE6,1D,1S,3
ELET6,MRVE3,1D,1T,3
HYPE3,SBSP3,1D,1S,1
GOAU4,LREN3,1D,1S,1
BRKM5,POMO4,1D,1H,1
GGBR4,BEEF3,1D,1H,3
CMIN3,TOTS3,1D,1H,2
RAIL3,SLCE3,1D,1S,1
AURE3,VAMO3,1D,1S,2
ENGI11,TIMS3,1D,1H,3
ABEV3,ELET3,1D,1T,3
BBDC3,RECV3,1D,1H,2
ENEV3,RENT3,1D,1S,1
CURY3,RAIL3,1D,1H,2
IRBR3,MBRF3,1D,1H,1
POMO4,MRVE3,1D,1T,1
CMIN3,PETR4,1D,1T,1
CMIN3,RADL3,1D,1H,2
ISAE4,POMO4,1D,1H,1
HAPV3,BEEF3,1D,1T,2
BRAP4,ELET3,1D,1T,2
CXSE3,HAPV3,1D,1H,3
ASAI3,CYRE3,1D,1S,2
BBDC3,IRBR3,1D,1H,2
BEEF3,TAEE11,1D,1H,1
CURY3,ELET6,1D,1S,1
EMBR3,ITSA4,1D,1S,2
BRAP4,FLRY3,1D,1H,2
CMIN3,RADL3,1D,1T,1
ENEV3,RECV3,1D,1H,1
CPLE6,IGTI11,1D,1T,3
CSAN3,RECV3,1D,1T,1
HAPV3,MULT3,1D,1H,3
ITSA4,POMO4,1D,1H,2
EMBR3,PSSA3,1D,1H,2
ELET6,KLBN11,1D,1H,1
ENEV3,EGIE3,1D,1T,3
IGTI11,PETR3,1D,1H,3
BBAS3,PRIO3,1D,1H,3
ASAI3,RADL3,1D,1T,1
IRBR3,MRVE3,1D,1H,2
MRVE3,VBBR3,1D,1S,1
MULT3,PETR4,1D,1S,3
EQTL3,NATU3,1D,1T,1
ASAI3,SLCE3,1D,1S,1
ITUB4,RAIL3,1D,1H,3
POMO4,BEEF3,1D,1S,3
VIVA3,WEGE3,1D,1S,3
CMIN3,HYPE3,1D,1S,1
CPLE6,CPFE3,1D,1H,2
CMIG4,VBBR3,1D,1T,2
BBDC3,BPAC11,1D,1T,2
B3SA3,SUZB3,1D,1T,3
CEAB3,WEGE3,1D,1H,2
PSSA3,RDOR3,1D,1H,1
BRKM5,ENGI11,1D,1T,2
EQTL3,MRVE3,1D,1T,3
AZZA3,BRAV3,1D,1T,1
RENT3,NATU3,1D,1H,2
ASAI3,ISAE4,1D,1H,3
CMIN3,LREN3,1D,1T,3
BBAS3,CPLE6,1D,1H,1
DIRR3,ENGI11,1D,1T,1
IRBR3,USIM5,1D,1H,2
ELET3,ENEV3,1D,1T,2
VAMO3,WEGE3,1D,1H,1
BBAS3,ELET3,1D,1H,1
ELET3,PCAR3,1D,1H,1
BRAP4,RDOR3,1D,1S,3
ITSA4,RAIZ4,1D,1T,3
ELET3,SLCE3,1D,1H,3
MGLU3,RECV3,1D,1T,1
CPLE6,SLCE3,1D,1S,3
ASAI3,CSAN3,1D,1S,1
CEAB3,RADL3,1D,1H,2
BBSE3,CVCB3,1D,1S,1
BRKM5,BRAV3,1D,1T,1
ALOS3,VBBR3,1D,1H,2
ISAE4,PETR3,1D,1T,1
RADL3,TIMS3,1D,1T,3
PCAR3,TAEE11,1D,1S,1
ENEV3,RENT3,1D,1T,2
COGN3,ITSA4,1D,1S,2
RENT3,RADL3,1D,1T,3
B3SA3,PRIO3,1D,1H,1
CPLE6,SMFT3,1D,1S,2
CSAN3,ISAE4,1D,1S,3
HAPV3,MGLU3,1D,1S,2
CMIG4,CPFE3,1D,1T,1
ABEV3,B3SA3,1D,1H,3
AZZA3,FLRY3,1D,1S,3
PRIO3,SUZB3,1D,1H,1
BBSE3,CPLE6,1D,1T,2
ABEV3,B3SA3,1D,1S,3
PSSA3,SANB11,1D,1T,2
BRAP4,MOTV3,1D,1S,2
CMIG4,PCAR3,1D,1H,1
CSAN3,FLRY3,1D,1S,3
VIVA3,YDUQ3,1D,1H,3
ITSA4,MBRF3,1D,1S,2
ALOS3,B3SA3,1D,1S,3
B3SA3,BRAV3,1D,1T,2
CXSE3,KLBN11,1D,1H,3
PSSA3,TAEE11,1D,1T,2
CPLE6,EGIE3,1D,1S,1
EMBR3,BEEF3,1D,1T,3
BBDC3,MBRF3,1D,1S,1
BBAS3,VALE3,1D,1H,3
BBAS3,MGLU3,1D,1T,1
AZZA3,BBDC4,1D,1T,3
BBDC3,CURY3,1D,1H,1
FLRY3,RDOR3,1D,1H,3
BBSE3,LREN3,1D,1H,1
CSAN3,POMO4,1D,1H,2
RAIZ4,SLCE3,1D,1T,2
BEEF3,SUZB3,1D,1S,2
DIRR3,GGBR4,1D,1H,2
BPAC11,CSNA3,1D,1S,3
BRAP4,SBSP3,1D,1S,2
CYRE3,EGIE3,1D,1S,2
CYRE3,EQTL3,1D,1T,3
BRAV3,TOTS3,1D,1T,2
VIVT3,USIM5,1D,1H,3
TOTS3,WEGE3,1D,1H,1
PETR3,YDUQ3,1D,1S,1
BRKM5,COGN3,1D,1T,1
BRAP4,COGN3,1D,1S,2
ISAE4,YDUQ3,1D,1H,2
CYRE3,VAMO3,1D,1H,3
AURE3,USIM5,1D,1H,3
MGLU3,WEGE3,1D,1S,3
ITSA4,VIVT3,1D,1T,1
GOAU4,CSNA3,1D,1S,1
RENT3,RAIZ4,1D,1S,3
BRAV3,MRVE3,1D,1S,1
EQTL3,TOTS3,1D,1H,3
CVCB3,EMBR3,1D,1T,1
DIRR3,PETR3,1D,1S,1
BPAC11,PRIO3,1D,1H,2
RAIL3,TAEE11,1D,1H,2
RAIZ4,SLCE3,1D,1S,2
GOAU4,MOTV3,1D,1S,1
ALOS3,ENGI11,1D,1S,1
BRAP4,VIVA3,1D,1S,3
BBDC3,ELET3,1D,1H,1
ALOS3,RECV3,1D,1H,2
ITUB4,RDOR3,1D,1S,3
BBDC4,ENGI11,1D,1H,3
RDOR3,SANB11,1D,1T,3
IRBR3,TAEE11,1D,1T,1
AZZA3,RECV3,1D,1T,1
PETR3,VIVA3,1D,1T,3
CYRE3,SLCE3,1D,1T,2
BRAV3,ISAE4,1D,1H,3
CYRE3,VIVT3,1D,1T,2
HAPV3,SMFT3,1D,1H,1
B3SA3,RDOR3,1D,1T,1
BPAC11,LREN3,1D,1H,1
ABEV3,AZZA3,1D,1T,1
ITSA4,VIVA3,1D,1T,2
ENGI11,VALE3,1D,1S,3
AURE3,CYRE3,1D,1H,3
BBDC4,RAIL3,1D,1H,3
IGTI11,SBSP3,1D,1T,1
BPAC11,EGIE3,1D,1H,1
CSNA3,VALE3,1D,1T,2
IRBR3,POMO4,1D,1T,3
CMIG4,LREN3,1D,1H,1
KLBN11,TIMS3,1D,1T,1
MRVE3,PSSA3,1D,1T,2
ITSA4,SANB11,1D,1S,2
BBAS3,COGN3,1D,1S,2
NATU3,WEGE3,1D,1H,1
IGTI11,CSNA3,1D,1S,2
ITUB4,SUZB3,1D,1H,1
RAIZ4,UGPA3,1D,1T,3
ASAI3,AZZA3,1D,1H,2
KLBN11,VIVT3,1D,1S,1
KLBN11,YDUQ3,1D,1T,3
RAIL3,USIM5,1D,1H,1
RAIL3,SBSP3,1D,1H,3
AURE3,ENGI11,1D,1T,3
